ID,Date,Text,Category
18,2023-08-07 16:19,"לכל המעוניינים.ות ההרשמה למפגש הראשון בקורס Notion שמתקיים הערב ב20:30 תיסגר בשעה 19:30 😱
הרשמה ופרטים נוספים על כל הסדנאות והקורסים 👇🏼
 https://affiliate.notion.so/aiwithhenry ",קורסים
19,2023-08-08 20:44,"ביקשו ממני ליצור מאגר של פרומפטים מוצלחים לדוגמה אבל חשבתי שבמקום דגים 🐟 עדיף חכה 🎣
אז יצרתי לכם בוט לשיפור פרומפטים.
איך זה עובד?
שולחים את הפרומפט שתרצו לשפר והבוט ישלח לכם
1. תשובה אפשרית.
2. שני פרומפטים משופרים.
3. שאלות שיעזור לכם בשיפור הפרומפט.
ניתן להמשיך בהתכתבות ישירות עם הבוט הזה או להעתיק את הפרומפט המשופר לכל צ'אט אחר, הבוט עונה אוטומטית בעברית אבל אפשר לכתוב לו ""Please answer me in English"" לשינוי ההתכתבות לאנגלית
קישור לבוט 👇🏼
 https://poe.com/Hebrew-prompter
קישור לכל ערוצי הבינה המלאכותית שלי📚
 https://linktr.ee/henryai
מוזמנים.ות להעביר הודעה זו הלאה",שונות
20,2023-08-08 20:44,"מוזמנים.ות לכתוב לי בפרטי או בקבוצת הדיונים על מה הייתם רוצים לדעת ולשמוע עוד 😃
אני יחסית פנוי בימים הקרובים אז מי שמעוניין בסדנה פרטית מזומן לתאם איתי 🤟🏻
שבוע הבא מתחיל קורס גרפיקה ווידאו מקיף בקנבה🖍️
ויש גם סדנת יצירה ועריכת תמונות 🏜️
הרשמה ופרטים על כל הסדנאות והקורסים 👇🏼
 https://affiliate.notion.so/aiwithhenry ",סדנאות
21,2023-08-09 20:39,"איך אפשר להשתמש במלך מחוללי התמונות מיידג'רני ישירות מהווצפ בחינם!
צפו במדריך שהכנתי לכם
 https://youtube.com/shorts/d5YbcqynKAw?feature=share
קישור לכל ערוצי הבינה המלאכותית שלי:
 https://linktr.ee/henryai ",מדריכים
22,2023-08-09 20:39,"אם בא לכם לדעת עוד על יצירה ועריכת תמונות עם בינה מלאכותית מוזמנים להרשם לסדנה המקיפה שתתקיים שבוע הבא ביום שלישי בשעה 20:30🖌️
בסדנה נלמד את יסודות יצור התמונה בכל כלי היצירה ובפרט נכיר את הממשק והיכולות של הכלי העוצמתי Firefly מבית היוצר של Photoshop Adobe🔥
ואם אתם רוצים לדעת ליצור גרפיקה ווידאו נפלאים בקלות ובמהירות לעסק שלכם מוזמנים לקורס מקיף ב Canva 🖍️

הרשמה ופרטים נוספים על כל הסדנאות והקורסים 👇🏼
 https://affiliate.notion.so/aiwithhenry ",כלי בינה
23,2023-08-13 20:56,"אפליקצית בינג מקבלת עדכון ומעכשיו במקום שלושת סוגי השיחה שהיו יש פשוט כפתור שמאפשר שיחה עם GPT4 או GPT הרגיל, זו דרך מעולה לגשת לGPT 4 ללא תשלום וללא הגבלה 🥳
בינג זמין כאפליקציה לאנדרואיד👇🏼
 https://play.google.com/store/apps/details?id=com.microsoft.bing
 או דרך דפדפן Microsoft edge במחשב.
בינג יכול ליצור תמונות וגם לתת תשובות עדכניות מהאינטרנט, כרגיל לקחת את התשובות שלו בעירבון מוגבל 🤣",עדכונים
24,2023-08-13 20:56,"📣 מוזמנים.ות לקורס וסדנה על כלי בינה מלאכותית יצירתיים 🎨
ביום רביעי הקרוב מתחיל קורס Canva  בן שלושה מפגשים 🖍️
בקורס נלמד כיצד ליצור עיצובים מקצועיים בקלות - מלוגו ועד פוסטים לרשתות חברתיות ווידאו לעסק.

ביום שלישי הקרוב בשעה 20:30
סדנת יצירת תמונות 🏜️
בסדנה נלמד את יסודות יצירת התמונה באמצעות  Firefly
נלמד למה להתייחס כשיוצרים תמונה כדי לקבל תוצאה מיטבית וגם טיפים למתקדמים 👩🏽‍🎨
הרשמה כאן ופרטים נוספים על כל הסדנאות והקורסים👇🏼
 https://affiliate.notion.so/aiwithhenry

מספר המקומות מוגבל 😱
לאחר הסדנאות אשלח סיכום סדנה והקלטה לכל הנרשמים.

מצפה לראותכם
הנרי 💫",כלי בינה
25,2023-08-15 13:55,"איך אני כדמות אנימה?   קבלו את 👇🏼
 https://restyleapp.net
 אפליקציה באמצעותה ניתן להמיר תמונות לאנימציה, אנימה בובות ועוד.
זמינה לאפל ולאנדרואיד, ניתן להשתמש בחלק מהפונקציות בחינם (אם יש מסך תשלום יש איקס קטן למעלה בצד), יש גם אפשרות להמרה של סרטונים בגרסה בתשלום 💫
קישור לכל ערוצי הבינה המלאכותית שלי:
 https://linktr.ee/henryai ",אפלקציות
26,2023-08-15 13:55,"הזדמנות אחרונה 😱
להצטרף לסדנת יצירת תמונות הערב ב20:30 ההרשמה תיסגר בשעה 19:30
בסדנה נלמד את יסודות יצירת ועריכת התמונה באמצעות בינה ובפרט את ממשק המשתמש הנפלא והנוח של Firefly 🦚
מחר מתחיל קורס מקיף בן 3 מפגשים בתכונת העיצוב הגרפי Canva 🖍️
בקורס נלמד איך לעצב גרפיקה ווידאו עבור העבודה הלימודים והחיים האישיים בקלות ובמהירות 😃
אני עובד במרץ על סדנאות וקורסים לפי המענה שלכם לסקר 🤟🏻
פרטים נוספים והרשמה לכל הסדנאות והקורסים 👇🏼
 https://affiliate.notion.so/aiwithhenry ",סדנאות
27,2023-08-16 15:25,"את התמונה המצורפת יצרתי אתמול בסדנת התמונות וזה פשוט חמוד מדי 😍
תזכורת חשובה להערב:
🔥 בשעה 20:30 מתחיל המפגש הראשון בקורס המקיף על Canva ליצירת עיצובים מקצועיים, הזדמנות אחרונה להצטרף 😱
היום במפגש נלמד:
- יצירת לוגו, פוסטים, כרזות ועוד
- עבודה עם קנבה
- עבודה עם שכבות גרפיות
- שיתוף וייצוא קבצים
- פונטים, אלמנטים, תמונות ועוד

🔆 בנוסף, לבקשת הקהל נפתח מועד חדש לסדנת יצירת מצגות מקצועיות עם בינה מלאכותית. הסדנה מיודעת לאנשי חינוך ומתאימה גם לקהל הרחב 🤟🏻
💡 בסדנה נכיר 3 כלים עוצמתיים ליצירת מצגות עם AI.

פרטים נוספים והרשמה לכל הסדנאות והקורסים 👇🏼
 https://affiliate.notion.so/aiwithhenry
נתראה שם,
הנרי 🙂",כלי בינה
28,2023-08-18 18:14,"במסגרת המחקר שלי לקראת סדנת המצגות בסוף החודש נתקלתי בתוסף הנפלא GPT Workspace🤖
התוסף מטמיע את GPT בטבלאות המסמכים והמצגות שלכם בגוגל ויכול לעזור בתיקון, עריכה, כתיבה ויצירה של תוכן ישירות בקלות ובמהירות, התוסף חינמי ונתמך במחשב בלבד כרגע, עם תמיכה חלקית בעברית.
מדריך מצולם לתוסף 👇🏼
 https://youtu.be/8N75IPTtlC0
קישור לתוסף 👇🏼
 https://workspace.google.com/marketplace/app/gpt_for_docs_sheets_slides/451400884190
קישור לכל ערוצי הבינה המלאכותית שלי👇🏼
 https://linktr.ee/henryai

מוזמנים.ות להעביר הודעה זו לאנשים נוספים
שיהיה סופ""ש נעים ונפלא 💫",מדריכים
29,2023-08-23 14:07,"אחד הדברים שאני אוהב בבינה המלאכותית מעבר לשימוש הפרקטי והחיסכון בזמן זה שזה פשוט כיף🥳
יש לנו קבוצה יעודית לתמונות, ועכשיו ביוזמת גל אחד החברים בקבוצה יש לנו אתגר יצירת תמונות כל כמה ימים, כל פעם יש תמונה/סצנה מסוימת שנבחרת ומי מהחברים.ות שרוצה יוצר גרסה משלו בכל מחולל תמונות 😃
אני מרגיש שהבינה המלאכותית היא גם הזדמנות נהדר ליצור חיבורים חדשים ומרתקים עם אנשים חדשים ומודה לכם על כך🥰
ניתן לגשת לקבוצות התמונות כמו גם שאר התכנים בקישור👇🏼
 https://linktr.ee/henryai
והנה כמה תמונות לדוגמה מהאתגרים האחרונים",כלי בינה
36,2023-08-23 14:07,"אפרופו תמונות, לבקשתכם פתחתי קורס מקיף על מלך מחוללי התמונות Midjourney
כמו גם סדנה לאנשי חינוך (מתאימה גם לקהל הרחב) שתסקור כלים ליצר מצגות ועוד מגוון סדנאות וקורסים  🦚
ועכשיו ניתן גם לרכוש הקלטות בלבד ב25% הנחה 😱

פרטים נוספים והרשמה לכל הסדנאות והקורסים 👇🏼
 https://affiliate.notion.so/aiwithhenry ",כלי בינה
37,2023-08-24 18:57,"חמישי שמח 😃
מחולל התמונות העוצמתי סטייבל דיפיוז'ן מקבל פיצ'ר חדש בשם קונטרלנט שמאפשר שילוב טקסט בתוך התמונות, כדי ליצור לוגו או סתם תמונה מגניבה והתוצאות מרהיבות  😍
הרבה שאלו אותי על הפיצ'ר אז יצרתי מדריך לפיצ'ר, שימו לב שנדרש ידע בסיסי בקנבה או תוכנה דומה וגישה למחולל של סטייבל
קישור למדריך 👇🏼
 https://youtube.com/shorts/hHOojHXkq3A?si=TY3gFKWdKwFXPUWL
סטייבל בדיסקורד 👇🏼
 https://discord.gg/stablediffusion
קישור לכל ערוצי הבינה המלאכותית שלי👇🏼
 https://linktr.ee/henryai
הרשמה ופרטים הסדנאות והקורסים שלי 👇🏼
 https://affiliate.notion.so/aiwithhenry ",מדריכים
38,2023-08-27 17:09,"שבוע נפלא 😃
בימים האחרונים נראה שיש קושי בגישה למודל השפה המופלא קלוד האמצעות VPN.
למי שלא מכיר, קלוד הוא צ'אט בוט כמו GPT וחבורתו, ולדעת רבים הוא מוצלח יותר מGPT ובפרט בעברית, ניתן לשלוח לו מסמכים דוגמת word ו pdf וכד (כמו בתמונה המצורפת) ואז לשאול שאלות לבקש סיכום וכל מה שאפשר לעשות עם GPT3.5.
מצרף לכם דרך חלופית לגשת לקלוד, באמצעות  האתר Poe תוכלו לגשת לקלוד ומודלים נוספים ואף ליצור צ'אט בוט מותאם אישית, בהמשך אקיים וובינר פתוח בחינם בו נלמד ונכיר את Poe ויכולותיו 😃
קישור לקלוד דרך poe👇🏼
 https://poe.com/Claude-2-100k
להצטרפות לוובינר החינמי והפתוח בואו לקבוצת העדכונים השקטה שלי בווצפ 👇🏼
 https://chat.whatsapp.com/ExPMeXpDypDApvH6R2jCrU ",אפלקציות
39,2023-08-27 17:09,"יש לנו שבוע עמוס בטוב 😱
מחר ב20:30 סדנת מבוא לAI הסדנה מיודעת לא.נשים שרוצים להתוודע ולהכיר את עולמות הבינה המלאכותית מהיסוד, מה זה פרומפט? GPT? בינג ומה זה בכלל בינה מלאכותית. 🤖
ביום שלישי בשעה 20:30 סדנת שימוש פרקטי ומתקדם בGPT ודומיו, זו הסדנה בשבילכם אם אתם רוצים לשפר את היכולות הפרומפטים שלכם ולהפיק תוצאות מירביות מקלוד וGPT. 🦾
ביום רביעי המפגש האחרון בקורס קנבה בו נלמד יישומיים מתקדמים ובינה מלאכותית בקנבה. 🎨
ביום חמישי סדנת המצגות לאנשים חינוך והקהל הרחב בה נסקור ונלמד כלים שונים ליצירת מצגות בבינה מלאכותית ונבין מה היתרונות והחסרונות של כל אחד ומה הכי מתאים לנו🖼️
פרטים נוספים והרשמה לכל הסדנאות והקורסים 👇🏼
 https://affiliate.notion.so/aiwithhenry ",כלי בינה
40,2023-08-29 16:42,"שאלו אותי הרבה עם בינה מלאכותית ליצרת אתר בדקתי כמה כלים והנה הכי מוצלח לדעתי 👇🏼
 https://framer.com
שיכול לבנות לכם אתר שלם בדקות מתאור קצר בטקסט, תומך בעברית עם שימוש חינמי עד רמה מסוימת, ניתן ליצור באמצעותו רק דרך מחשב אבל יתרון משמעותי מאוד זה שהאתרים שהוא יוצר מתאימים לפלאפון לטבלט ולמחשב 😱
בנוסף ניתן לערוך את האתר שיצרתם די בקלות ובמהירות ללא קוד 💪🏻
💫הערב בשעה 21:00 תתקיים סדנת שימוש פרקטי ומתקדם ב-AI, בסדנה נראה כיצד להפיק את המיטב הפרומפטים שלנו לקלוד או GPT, מה המודלים הזמנים כרגע וגם על תוספים מתקדמים יותר, סיכון סדנה והקלטה ישלחו לכל הנרשמים ההרשמה תסתיים בשעה 20:00 מספר המקומות מוגבל, מהרו להירשם 👇🏼
 https://pay.sumit.co.il/25696t/4abkhg/4cp3y8/payment/ ",כלי בינה
41,2023-09-04 03:06,"שבוע טוב וערב נפלא 😃
קיבלתי בקשות בפרטי ליותר מדריכים אז הנה כלי מופלא כולל מדריך - ideogram
מחולל תמונות עוצמתי וחינמי, עם יכולת מדהימה, ניתן לשלב טקסט בתוך התמונה עם פרומפט יחיד ובלי עריכה 😱
כרגע הכלי תומך באנגלית בלבד, זמין מהמחשב והפלאפון
מדריך מצולם לכלי 👇🏼
 https://youtu.be/Hf9Dpp0jiGo
קישור לכלי 👇🏼
 https://ideogram.ai
קבוצת פייסבוק יעודית לכלי באנגלית 👇🏼
 https://www.facebook.com/groups/7277260172288887/?ref=share
מוזמנים לצרף חברים לקבוצה או לשלוח הודעה זו הלאה 😃🙏🏻
קישור לכל ערוצי הבינה המלאכותית שלי👇🏼
 https://linktr.ee/henryai ",מדריכים
42,2023-09-04 20:21,"מה שמופלא בכלי הבינה זה היישומים האינסופיים שלהם, נתקלתי בכלי המעניין הזה👇🏼
 https://labworks.ai
הכלי יכול לקבל תוצאות בדיקות דם לנתח אותן ולתת עצות ומסקנות בדיוק רב, הכלי בתשלום וכולל גרסת נסיון בחינם 😃",כלי בינה
43,2023-09-04 20:21,"לבקשתם הוספתי לטבלת כלי הבינה את התגית ''תרגום'', ניתן לגשת לטבלה וכל תכני הקהילה בקישור שבתאור הקבוצה🤟🏻
שימו ❤️ שנפתחו מועדים נוספים לסדנאות שונות ביניהן: מבוא, שימוש מתקדם, קנבה ו מיידג'רני 🥳
פרטים נוספים והרשמה לכל הסדנאות והקורסים 👇🏼
 https://affiliate.notion.so/aiwithhenry ",כלי בינה
44,2023-09-05 23:53,"איך אפשר להוסיף אנימציה לכל עיצוב בקנבה? 😱
יצרתי לכם מדריך קצר ופשוט, תהנו 😃
קישור למדריך 👇🏼
 https://youtu.be/Y5wqyNAlUBg?si=M1Tfp6Uq8vr0eEMB
אני אגיד שגם את המדריך עצמו יצרתי בקנבה והאפשרויות שהתוכנה מציעה מדהימות, מפלאפון או מחשב בעברית ובחינם 🥳
בדיוק לכן נפתח מועד נוסף לקורס המקיף על קנבה, הקורס מורכב משלושה מפגשים:
1-הכרות הכרות ומבוא
2-עריכה ויצירת וידאו
3-שימושים מתקדמים וAI
ניתן להרשם לקורס כולו או לחלק מהמפגשים
הקורס יתקיים בימי שני החל מה 16.10 בשעה 19:00 משך כל מפגש 75 דקות

קישור הרשמה לקורס 👇🏼
 https://pay.sumit.co.il/25696t/4bihqq
לפרטים נוספים והרשמה לכל הסדנאות והקורסים 👇🏼
 https://affiliate.notion.so/aiwithhenry
תהנו, תחכימו ונתראה 💫",מדריכים
45,2023-09-07 21:45,"פתחתי לכם את כל הסדנאות והקורסים שלי לרכישה כהקלטה ב 25% הנחה 😱
 https://pay.sumit.co.il/25696t/4fzojv/
 אני משתדל שהתכנים שלי יהיו במחירים נוחים ככה ש25% הנחה זה בכלל.. 📈
עם ההקלטה תקבלו גם:
- מצגת המפגש
- סיכום
- קישורים רלוונטים
- תמיכה מלאה ממני, מוזמנים לפנות אליי לעזרה בכל שאלה 😃
קישור לרכישת הקלטות 👇
 https://pay.sumit.co.il/25696t/4fzojv/
תהנו, תחכימו, ושיהיה סופ""ש נפלא 🦋",קורסים
46,2023-09-10 21:23,"שבוע נפלא לכולם.ן 😃
עדכונים מעולמות הAI 🤖
- מנוע החיפוש החכם בינג זמין גם מדפדפן הכרום במחשב ולא רק בדפדפן של מיקרוסופט, קישור לבינג👇🏼
 https://www.bing.com/search?q=Bing+AI&showconv=1&FORM=hpcodx
- קנבה מוציאה פלאגין  לGPT4, עכשיו ניתן ליצור ישירות דרך הצ'אט עיצובים מרהיבים (פלאגין הוא מעיין אפליקציה שמתקינים על הגרסה בתשלום של GPT)
סרטון הסבר באנגלית 👇🏼
 https://youtu.be/4hi9gqdhK-0?si=lLJ-Sc5SAzMQC_DY
- מודל השפה העוצמתי קלוד מקבל גרסת פרו בתשלום, הגרסה מאפשרת גישה גם בשעות העומס ללא הגבלה במהירות גבוהה, במידה ואתם משתמשים הרבה קלוד אולי שווה לרכוש, הקפידו להפעיל VPN מUS/UK בזמן הרכישה, קישור לרכישה 👇🏼
 https://www.anthropic.com/index/claude-pro
- מודל שפה חדש ועוצמתי בשם Falcon 180B עם רישיון קוד פתוח פורסם וזמין להורדה או שימוש בדמו בHuggingFace 👇🏼
 https://huggingface.co/blog/falcon-180b
קישור לכל ערוצי הבינה המלאכותית שלי 👇🏼
 https://bit.ly/45WNg2E

תהנו ותחכימו 🧠
הנרי",אפלקציות
47,2023-09-10 21:23,"אם עדיין לא יצא לכם להתנסות ביצירת תמונות או  שאתם רוצים לשפר את יצירת התמונות שלכם מוזמנים.ות לסדנת יצירת תמונות השבוע ביום רביעי 13.9 בשעה 20:30 🖼️
בסדנה נלמד את יסודות יצירת ועריכת התמונה באמצעות בינה מלאכותית באמצעות הפלטפורמה החינמית והמקצועית Firefly מבית פוטושופ
משך הסדנה 75 דקות, הקלטה וסיכום סדנה ישלחו לכל הנרשמים 😃
קישור הרשמה לסדנה 👇🏼
 https://pay.sumit.co.il/25696t/49grk8/4fq9w1/payment/
פרטים נוספים והרשמה לכל הסדנאות והקורסים 👇🏼
 https://affiliate.notion.so/aiwithhenry
😃",סדנאות
48,2023-09-11 20:13,"כמעט שנה טובה 😁
בא לכם ליצור כרטיס ברכה מהמם תוך דקות? פוסט שיווקי? הזמנה לאירוע?
תכירו את Microsoft Designer כלי הבינה החדשני של מיקרוסופט לעיצוב, הכלי חינמי ותומך חלקית בעברית, זמין מהמחשב בלבד כרגע 💻
מדריך מצולם לכלי 👇🏼
 https://youtu.be/ZRcuWIROb-Y
קישור לכלי 👇🏼
 https://designer.microsoft.com/new
קישור לכל ערוצי הבינה המלאכותית שלי 👇🏼
 https://linktr.ee/henryai
מוזמנים להעביר הלאה 😃
שתהיה לכם שנה נפלאה ומלאה ביצירה
הנרי ❤️",מדריכים
49,2023-09-14 19:38,"שנהיה לראש ולא לזנב🐯
בהמשך לסקר בעלי עסקים ובכלל רוצה להציג לכם תוסף שימושי ונוח, התוסף מתחבר ליומן הגוגל שלכם ואז יוצר קישור אותו תוכלו לשים באתר או לשלוח בווצאפ / פייסבוק ובלחיצה עליו אנשים יוכלו לקבוע איתכם פגישה ישר ליומן לפי תנאים שתגדירו בתוסף והזמן הפנוי שלכם במהירות ובקלות😃
התוסף חינמי לגמרי🤟🏻
קישור לתוסף 👇🏼
 https://calendly.com
הכלי הזה כמו עוד הרבה כלי בינה עם הסבר ומיון נגיש לכם בעץ הקישורים שלי 👇🏼
 https://linktr.ee/henryai
תהנו ושתפו עם חברים 💌
שתהיה לכם שנה נפלאה
הנרי",כלי בינה
50,2023-09-18 15:18,"חבריםות יקרים,
הזדמנות אחרונה להירשם קורס המקיף Midjourney-מאפס לאינסוף

יתקיים ביום שלישי הקרוב ה-19.9 בשעה 20:00.

משך הקורס: 120 דקות.

מיידג'רני הוא מחולל תמונות עוצמתי ומקצועי עם פרמטרים רבים ואפשרויות מתקדמות

בקורס נכסה הכל - מהתקנה ועד שימוש מתקדם:

🔹 התקנה ובסיס

🔹 כתיבת Prompts

🔹 פרמטרים מתקדמים

🔹 פונקציות שונות

🔹 ועוד תוכן ייחודי

זו ההזדמנות שלכם ללמוד להפעיל את Midjourney כמו מקצוענים!

לאחר הקורס תישלח הקלטה לכל המשתתפים✅

מהרו להירשם 👇

 https://pay.sumit.co.il/25696t/4fy4og/4fy4oh/payment/


מחכה לכם בקורס!

הנרי 😃",כלי בינה
51,2023-09-18 15:18,"האם בינה מלאכותית יכולה לחזות את העתיד?
למנוע מחלות? להפחית פשיעה? האזינו לפודקאסט המרתק
 https://open.spotify.com/episode/7rg3V7tsnhgWwvIZBP3xNh?si=meASLLM0T_C0NGMR_tFkLg&utm_source=copy-link
פשוט מדהים",שונות
52,2023-09-19 20:04,"יש לכם הקלטה או סרטון שאתם רוצים לתמלל / ליצור לו כתוביות?
קבלו את 👇🏼
 https://listenmonster.com
יוצר כתוביות ומתמלל לגמרי בחינם😱
יכול לקבל סרטון או תמונה עד גודל 100MB
בעברית ובאנגלית ועוד 95 שפות, ניתן ליצא את הטקסט בפורמט TXT או כתוביות SRT
ניתן לגשת לכלי הזה כמו עוד הרבה כלים מדריכים ותכנים פה👇🏼
 https://linktr.ee/henryai
תהנו ושתפו עם חברים 🤟🏻
הנרי",כלי בינה
